# harbour-strokecat 5-stroke dictionary
# format: <char>	<code>	<freq>
# code: 1=横 2=竖 3=撇 4=捺(含点) 5=折(含勾)
# sources: RIME stroke.dict.yaml + jieba freq
包	35515	5289
替	113411342511	5281
司	51251	5271
卷	43113455	5269
旁	4143454153	5260
夏	1325111354	5257
招	12153251	5248
武	11212154	5241
冒	251125111	5231
族	41533131134	5215
貼	251113421251	5204
贴	253421251	5204
硬	132511251134	5193
利	3123425	5167
坛	1211154	5158
壇	1214125251125111	5158
冷	4134454	5144
玉	11214	5140
腿	3541511534454	5139
答	314314341251	5137
保	322511234	5119
照	2511532514444	5076
假	32512115154	5051
板	12341354	5049
御	33231121552	5044
易	25113533	5042
賊	2511134113543	5032
贼	2534113534	5032
媽	5311211254444	5014
妈	531551	5014
度	413122154	4995
宋	4451234	4976
专	1154	4975
專	12511214124	4975
熟	412515513544444	4974
計	411125112	4965
计	4512	4965
忘	4154544	4957
赴	121213424	4943
射	3251113154	4926
頁	132511134	4911
页	132534	4911
乃	53	4905
垸	1214451135	4893
巴	5215	4887
咱	251325111	4884
支	1254	4883
厚	132511521	4878
燒	4334121121121135	4867
烧	4334153135	4867
微	3322521353134	4852
虎	21531535	4845
布	13252	4827
节	12252	4822
節	3143145115452	4822
升	3132	4813
依	32413534	4797
苦	12212251	4796
绝	551355215	4795
絕	554444535215	4795
翻	343123425121541541	4788
逃	341534454	4781
唐	4135112251	4769
春	111342511	4753
闻	245122111	4745
聞	25112511122111	4745
奇	13412512	4743
略	25121354251	4740
甲	25112	4733
楚	1234123452134	4713
喊	251131251534	4712
班	1121431121	4674
份	323453	4674
广	413	4658
廣	41312212512134	4658
怒	531544544	4653
绣	5513123453	4645
孫	5513554534	4645
孙	551534	4645
繡	554444511235521512	4645
版	32153354	4626
坏	1211324	4624
壞	1214125221241343534	4624
组	55125111	4621
組	55444425111	4621
葉	122122151234	4617
叶	25112	4617
輪	125111234125122	4615
轮	15213435	4615
哥	1251212512	4609
决	415134	4589
決	4445134	4589
浠	4443413252	4587
压	131214	4586
壓	13251135441344121	4586
彈	515251251251112	4578
弹	51543251112	4578
显	251122431	4574
顯	25115545544444132511134	4574
語	41112511251251	4563
语	451251251	4563
室	445154121	4562
业	22431	4553
業	2243143111234	4553
摸	1211222511134	4552
廟	413122511123511	4541
庙	41325121	4541
稍	312342432511	4540
素	1121554534	4533
撲	121224314311134	4520
扑	12124	4520
赶	1212134112	4518
趕	12121342511112	4518
迎	3552454	4509
寶	44511213112522511134	4496
宝	44511214	4496
果	25111234	4482
貴	251212511134	4478
贵	251212534	4478
炒	43342343	4473
鬧	211211121541252	4458
闹	42541252	4458
抬	12154251	4456
擡	15112125145154121	4456
雨	12524434	4450
齐	413432	4450
齊	41432533543211	4450
騎	121125444413412512	4437
骑	55113412512	4437
盐	1212425221	4433
鹽	125125312125344444125221	4433
卒	41343412	4428
星	251131121	4424
哩	2512511121	4421
客	445354251	4415
擺	121252215425113535	4413
摆	1512522112154	4413
借	3212212511	4411
折	1213312	4410
負	352511134	4410
负	352534	4410
击	11252	4400
擊	12511125235543115	4400
戴	12125121122134543	4398
细	55125121	4388
細	55444425121	4388
呆	2511234	4383
奉	11134112	4375
觀	122251251324111212511135	4368
观	542535	4368
唱	25125112511	4365
華	1221122112	4364
华	323512	4364
毒	11215531	4357
泥	44451315	4354
味	25111234	4348
漸	44412511123312	4325
渐	44415213312	4325
橫	1234122112512134	4321
