# wubi phrase dictionary (converted from rime)
# format: phrase	code	freq
草料	ajou	722861
幕府	ajow	2204329
草字	ajpb	272065
划定	ajpg	3534870
墓室	ajpg	573920
草案	ajpv	20951058
慕容	ajpw	4637035
墓穴	ajpw	1618494
蓝色	ajqc	89861176
暮色	ajqc	2968894
蓦然	ajqd	7635717
蓝鸟	ajqg	2472423
草鱼	ajqg	1270964
莫尔	ajqi	1489411
莫名	ajqk	16085647
慕名	ajqk	2333411
莫负	ajqm	188658
草包	ajqn	707967
幕后	ajrg	15986352
募捐	ajrk	2710729
划拨	ajrn	2522070
草拟	ajrn	2065317
划拉	ajru	559025
草垫	ajrv	136032
草棚	ajse	479590
草本	ajsg	5759058
蓝本	ajsg	2829882
莫可	ajsk	1390117
草木	ajss	9234352
鹊桥	ajst	3366070
草样	ajsu	766550
草根	ajsv	13603294
莫要	ajsv	1429835
苹果机	ajsw	1211388
萌生	ajtg	2522070
暮年	ajtg	827120
蔓延	ajth	29986823
划算	ajth	8062682
惹是生非	ajth	418028
草种	ajtk	779458
莫愁	ajto	1261035
莫管	ajtp	222418
莫笑	ajtt	817190
划船	ajtu	1618494
划艇	ajtu	656334
草签	ajtw	331642
草稿	ajty	3296564
莫逆	ajub	536188
幕前	ajue	961167
划拳	ajug	360437
草间	ajuj	106244
莫问	ajuk	1519200
莫将	ajuq	120145
莫道	ajut	818183
划痕	ajuv	1668141
鹊巢	ajvj	8251341
莫如	ajvk	764564
划时代	ajwa	2244047
草创	ajwb	346536
幕僚	ajwd	1638352
草体	ajws	96216
划伤	ajwt	1678070
划分	ajwv	22043294
草丛	ajww	6573270
募集	ajwy	231355294
蓝领	ajwy	3465364
草食	ajwy	900597
划线	ajxg	54016000
草绳	ajxk	316748
草纸	ajxq	319727
草绿	ajxv	2482352
茧丝	ajxx	240291
草编	ajxy	729811
划为	ajye	1290823
莫让	ajyh	1181600
蓝调	ajym	5073929
莫忘	ajyn	1896517
莫说	ajyu	959181
草率	ajyx	2829882
莴苣	akaa	557040
勤苦	akad	288945
勤劳	akap	6563341
